Transaction_Date,Category,Description,Amount
2026-01-01,Garment,Local Market,1575
2026-01-03,EMI,Audio Equipment EMI,647
2026-01-03,Food,College Canteen,1108
2026-01-04,Food,Swiggy,923
2026-01-07,Bills,Hostel Wi-Fi,429
2026-01-08,Food,Swiggy,58
2026-01-08,Garment,Local Market,1009
2026-01-10,Bills,Hostel Wi-Fi,660
2026-01-10,Groceries,D-Mart Jaipur,628
2026-01-11,Garment,Local Market,3066
2026-01-11,Food,Local Cafe,108
2026-01-12,Groceries,Blinkit Delivery,337
2026-01-13,Food,Swiggy,783
2026-01-14,Groceries,D-Mart Jaipur,1427
2026-01-15,Garment,Zudio,1767
2026-01-15,Food,Zomato,1104
2026-01-16,Bills,Koala Sampler Subscription,688
2026-01-16,EMI,Student Laptop EMI,18719
2026-01-17,Healthcare,Apollo Pharmacy,1284
2026-01-18,Food,College Canteen,711
2026-01-22,Bills,Jio Mobile Recharge,593
2026-01-23,Food,Swiggy,355
2026-01-23,Garment,Myntra,2466
2026-01-24,Groceries,Local Grocery,107
2026-01-26,Food,Local Cafe,104
2026-01-27,Groceries,Blinkit Delivery,4461
2026-01-29,Food,College Canteen,557
2026-01-30,Bills,Spotify Premium,1012
2026-01-30,Bills,Hostel Wi-Fi,97
2026-01-31,EMI,Audio Equipment EMI,3736
2026-02-02,Groceries,Blinkit Delivery,101
2026-02-03,Healthcare,First Aid Supplies,591
2026-02-04,Food,Zomato,158
2026-02-05,Groceries,Local Grocery,1
2026-02-06,Food,Swiggy,1524
2026-02-07,Groceries,Reliance Fresh,136
2026-02-10,Groceries,Blinkit Delivery,1040
2026-02-11,Groceries,Local Grocery,494
2026-02-12,Groceries,Reliance Fresh,323
2026-02-14,Groceries,Blinkit Delivery,22
2026-02-15,Groceries,Blinkit Delivery,1755
2026-02-16,Bills,Jio Mobile Recharge,1252
2026-02-20,Groceries,Reliance Fresh,474
2026-02-20,Food,College Canteen,340
2026-02-22,Groceries,Local Grocery,2225
2026-02-23,Groceries,D-Mart Jaipur,310
2026-02-27,EMI,Student Laptop EMI,6898
2026-02-27,Bills,Spotify Premium,392
2026-02-27,Bills,Electricity Bill,318
2026-02-28,Bills,Spotify Premium,1315
2026-02-28,Bills,Spotify Premium,510
2026-03-02,Food,Swiggy,25
2026-03-03,Bills,Hostel Wi-Fi,1290
2026-03-03,Bills,Jio Mobile Recharge,81
2026-03-03,Groceries,D-Mart Jaipur,769
2026-03-05,Groceries,Blinkit Delivery,449
2026-03-08,Bills,Jio Mobile Recharge,1072
2026-03-08,Groceries,Blinkit Delivery,231
2026-03-09,Food,Zomato,71
2026-03-10,Groceries,Local Grocery,1624
2026-03-11,Food,Zomato,1363
2026-03-12,Bills,Spotify Premium,120
2026-03-12,Groceries,Blinkit Delivery,1076
2026-03-14,Groceries,Local Grocery,735
2026-03-15,Groceries,Blinkit Delivery,478
2026-03-17,Bills,Spotify Premium,480
2026-03-17,Food,College Canteen,214
2026-03-19,Bills,Koala Sampler Subscription,640
2026-03-19,Food,Swiggy,1845
2026-03-19,Bills,Jio Mobile Recharge,1260
2026-03-20,Food,Local Cafe,118
2026-03-23,Food,Zomato,557
2026-03-24,Healthcare,Apollo Pharmacy,1733
2026-03-25,Food,Zomato,72
2026-03-25,Food,College Canteen,1243
2026-03-25,Groceries,Blinkit Delivery,519
2026-03-29,Food,College Canteen,1077
2026-03-31,Bills,Electricity Bill,1708
2026-04-03,Bills,Electricity Bill,120
2026-04-08,Healthcare,1mg Online,6166
2026-04-08,Food,Zomato,434
2026-04-10,Garment,Zudio,117
2026-04-10,Bills,Koala Sampler Subscription,401
2026-04-12,Groceries,Local Grocery,278
2026-04-14,Food,Local Cafe,148
2026-04-15,Bills,Spotify Premium,96
2026-04-15,Bills,Koala Sampler Subscription,205
2026-04-16,Bills,Spotify Premium,206
2026-04-20,Healthcare,Local Clinic,226
2026-04-21,Bills,Hostel Wi-Fi,55
